Nr. of detectors, Nr. of user table parameter
1010    0
Det.no  Delta    Len2   Code     2theta
778      0.0    1.0115    1     159.960
779      0.0    1.0041    1     159.659
780      0.0    1.0041    1     159.659
781      0.0    1.0115    1     159.357
782      0.0    1.0115    1     159.357
783      0.0    1.0041    1     159.055
784      0.0    1.0041    1     159.055
785      0.0    1.0115    1     158.753
786      0.0    1.0115    1     158.753
787      0.0    1.0041    1     158.451
788      0.0    1.0041    1     158.451
789      0.0    1.0115    1     158.149
790      0.0    1.0115    1     158.149
791      0.0    1.0041    1     157.848
792      0.0    1.0041    1     157.848
793      0.0    1.0115    1     157.546
794      0.0    1.0115    1     157.546
795      0.0    1.0041    1     157.244
796      0.0    1.0041    1     157.244
797      0.0    1.0115    1     156.942
798      0.0    1.0115    1     156.942
799      0.0    1.0041    1     156.640
800      0.0    1.0041    1     156.640
801      0.0    1.0115    1     156.338
802      0.0    1.0115    1     156.338
803      0.0    1.0041    1     156.037
804      0.0    1.0041    1     156.037
805      0.0    1.0115    1     155.735
806      0.0    1.0115    1     155.735
807      0.0    1.0041    1     155.433
808      0.0    1.0041    1     155.433
809      0.0    1.0115    1     155.131
810      0.0    1.0115    1     155.131
811      0.0    1.0041    1     154.829
812      0.0    1.0041    1     154.829
